"Refid","Author","Title","Year","User","Level","Subsection Title","Experimental outcome addressed in experiment/assay.","Is the experiment/assay of sufficient quality?","If “No”; Which domain(s) of study quality failed? -> Exposure Assessment or Assignment","If “No”; Which domain(s) of study quality failed? -> Outcome Assessment/Evaluation","If “No”; Which domain(s) of study quality failed? -> Study Design","Rationale for study quality judgement.","Animal Type -> Mouse","Animal Type -> Rat","Rat -> Long-Evans","Rat -> Sprague Dawley","Rat -> Wistar","Rat -> Not Specified","Mouse -> CD1","Mouse -> C57BL/6","Mouse -> ICR","Mouse -> Agouti","Mouse -> Not Specified","Mouse -> CBA/CaJ","Mouse -> Tg-SWDI","Mouse -> Kunming","Groups, Sex, and Number of Animals Reported","Form of Pb","Exposure Route -> Oral, diet","Exposure Route -> Oral, drinking water","Exposure Route -> Oral, gavage","Exposure Route -> Oral, lactation","Exposure Route -> Inhalation","Exposure Route -> In utero","Is this a developmental exposure?","What stage of development was assessed? Select all that apply. -> Preconception","What stage of development was assessed? Select all that apply. -> Prenatal","What stage of development was assessed? Select all that apply. -> Postnatal","What stage of development was assessed? Select all that apply. -> Juvenile/Adolescent","What stage of development was assessed? Select all that apply. -> Continued to Adult","What stage of development was assessed? Select all that apply. -> Multigenerational","Start and end day of exposure","Exposure Duration -> Short-Term (less than or equal to 30 days)","Exposure Duration -> Short-Term (less than or equal to 30 days) (COMMENT)","Exposure Duration -> Long-Term (greater than 30 days)","Exposure Duration -> Long-Term (greater than 30 days) (COMMENT)","Exposure Design Notes","Time of Outcome Assessment
Report day(s) outcome was assessed (e.g., PND 21, 28, 35).","Blood Lead Level - Reported Units","Blood Lead Level- Converted to ug/dL","Does this study involve an at-risk population?","Additional Notes"
6769500,"An, J., Cai, T., Che, H., Yu, T., Cao, Z., Liu, X., Zhao, F., Jing, J., Shen, X., Liu, M., Du, K., Chen, J., Luo, W.","The changes of miRNA expression in rat hippocampus following chronic lead exposure",2014,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water with NaAc), M, n = 12
100 ppm, M, n = 12
200 ppm, M, n = 12
300 ppm, M, n = 12","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,"Continued to Adult",,"4 wk to 12 wk",,,"Long-Term (greater than 30 days)",56,,"12 wk","5 wk: 
0.96 ug/dL for Control 
7.07 ug/dL for 100 ppm
11.54 ug/dL for 200 ppm
14.76 ug/dL for 300 ppm

6 wk: 
0.96 ug/dL for Control
8.13 ug/dL for 100 ppm
12.92 ug/dL for 200 ppm
16.65 ug/dL for 300 ppm

7 wk: 
0.96 ug/dL for Control
9.68 ug/dL for 100 ppm
13.37 ug/dL for 200 ppm
19.48 ug/dL for 300 ppm

8 wk:
0.96 ug/dL for Control
9.64 ug/dL for 100 ppm
17.07 ug/dL for 200 ppm
22.02 ug/dL for 300 ppm

9 wk:
0.96 ug/dL for Control
12.12 ug/dL for 100 ppm
20.7 ug/dL for 200 ppm
22.28 ug/dL for 300 ppm 

10 wk: 
0.96 ug/dL for Control
11.48 ug/dL for 100 ppm
17.75 ug/dL for 200 ppm
24.69 ug/dL for 300 ppm

11 wk:
0.96 ug/dL for Control
11.51 ug/dL for 100 ppm
17.52 ug/dL for 200 ppm
22.18 ug/dL for 300 ppm

12 wk:
0.96 ug/dL for Control
11.41 ug/dL for 100 ppm
17.23 ug/dL for 200 ppm
22.57 ug/dL for 300 ppm","5 wk: 
0.96 ug/dL for Control 
7.07 ug/dL for 100 ppm
11.54 ug/dL for 200 ppm
14.76 ug/dL for 300 ppm

6 wk: 
0.96 ug/dL for Control
8.13 ug/dL for 100 ppm
12.92 ug/dL for 200 ppm
16.65 ug/dL for 300 ppm

7 wk: 
0.96 ug/dL for Control
9.68 ug/dL for 100 ppm
13.37 ug/dL for 200 ppm
19.48 ug/dL for 300 ppm

8 wk:
0.96 ug/dL for Control
9.64 ug/dL for 100 ppm
17.07 ug/dL for 200 ppm
22.02 ug/dL for 300 ppm

9 wk:
0.96 ug/dL for Control
12.12 ug/dL for 100 ppm
20.7 ug/dL for 200 ppm
22.28 ug/dL for 300 ppm 

10 wk: 
0.96 ug/dL for Control
11.48 ug/dL for 100 ppm
17.75 ug/dL for 200 ppm
24.69 ug/dL for 300 ppm

11 wk:
0.96 ug/dL for Control
11.51 ug/dL for 100 ppm
17.52 ug/dL for 200 ppm
22.18 ug/dL for 300 ppm

12 wk:
0.96 ug/dL for Control
11.41 ug/dL for 100 ppm
17.23 ug/dL for 200 ppm
22.57 ug/dL for 300 ppm",Yes,
6772897,"Li, H. W., Deng, J. G., Du, Z. C., Yan, M. S., Long, Z. X., Pham Thi, P. T., Yang, K. D.","Protective effects of mangiferin in subchronic developmental lead-exposed rats",2013,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F, n = 16 (8/8)
500 ppm, M/F, n = 16 (8/8)","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,"Continued to Adult",,"4 wk to 16 wk",,,"Long-Term (greater than 30 days)",84,"A balanced sex ratio within groups was not explicitly stated in the methods, but in total animals were split evenly by sex.","4 mo","4 mo: 
29.99 ug/L (3 ug/dL) for Control
159.54 ug/L (16 ug/dL) for 500 ppm","4 mo: 
3 ug/dL for Control
16 ug/dL for 500 ppm",Yes,
6772909,"Zhu, G., Peng, T., Peng, C., Li, H.","Chronic lead exposure decreases the expression of Huntingtin-associated protein 1 (HAP1) through Repressor element-1 silencing transcription (REST)",2019,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water), M/F, n = 32
0.5 g/L solution, M/F, n = 32","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD 0 to 12 mo",,,"Long-Term (greater than 30 days)",387,"Authors' report 32 animals/group, but it is unclear if litter effects were controlled for and if every animal was used for behavioral tests. Authors also do not report the sex/sex ratio of studied animals.",NR,"12 mo:
<LOD for Control
28.1 ug/dL for 0.5 g/L solution","12 mo:
<LOD for Control
28.1 ug/dL for 0.5 g/L solution",Yes,
6772945,"Song, H., Zheng, G., Shen, X. F., Liu, X. Q., Luo, W. J., Chen, J. Y.","Reduction of brain barrier tight junctional proteins by lead exposure: role of activation of nonreceptor tyrosine kinase Src via chaperon GRP78",2014,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M, n = 9
100 ug/mL, M, n = 9
200 ug/mL, M, n = 9
300 ug/mL, M, n = 9","Pb acetate",,"Oral, drinking water",,,,,"No, adult only",,,,,,,"PND 20-22 to PND 76-78",,,"Long-Term (greater than 30 days)",56,"Male sprague dawley rats aged PND 20-22 were dosed to Pb acetate via drinking water for 8 weeks until PND 76-78","PND 76-78","PND 76-78:
0.73 ug/dL for Control
4.7 ug/dL for 100 ug/mL
10.1 ug/dL for 200 ug/mL
12.3 ug/dL for 300 ug/mL",,No,
6775203,"Zhou, F., Du, G., Xie, J., Gu, J., Jia, Q., Fan, Y., Yu, H., Zha, Z., Wang, K., Ouyang, L., Shao, L., Feng, C., Fan, G.","RyRs mediate lead-induced neurodegenerative disorders through calcium signaling pathways",2020,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (distilled water), M, n = 5-9
0.5 g/L solution, M, n = 5-9
2.0 g/L solution, M, n = 5-9","Pb acetate",,"Oral, drinking water",,,,,Yes,,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD 1 to PND 364",,,"Long-Term (greater than 30 days)",386,"Pregnant rats were exposed during gestation and lactation to Pb, and at weaning pups were given the administered Pb drinking solutions until postnatal week 52 (PND 364). Only male pups were used for age related endpoints.","PND 21, 364","PND 21: 
0 mg/L (0 ug/dL) for Control
0.1 mg/L (10 ug/dL) for 0.5 g/L solution
0.36 mg/L (3.6 ug/dL) for 2.0 g/L solution

PND 364:
0 mg/L (0 ug/dL) for Control
0.15 mg/L (1.5 ug/dL) for 0.5 g/L solution
0.51 mg/L (5.1 ug/dL) for 2.0 g/L solution","PND 21: 
0 ug/dL for Control
10 ug/dL for 0.5 g/L solution
3.6 ug/dL for 2.0 g/L solution

PND 364:
0 ug/dL for Control
1.5 ug/dL for 0.5 g/L solution
5.1 ug/dL for 2.0 g/L solution",Yes,
6775203,"Zhou, F., Du, G., Xie, J., Gu, J., Jia, Q., Fan, Y., Yu, H., Zha, Z., Wang, K., Ouyang, L., Shao, L., Feng, C., Fan, G.","RyRs mediate lead-induced neurodegenerative disorders through calcium signaling pathways",2020,carlson.laura@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (distilled water), M, n = 18-27
0.5 g/L solution, M, n = 18-27
2.0 g/L solution, M, n = 18-27","Pb acetate",,"Oral, drinking water",,,,,Yes,,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD 1 to PND 364",,,"Long-Term (greater than 30 days)",386,"Pregnant rats were exposed during gestation and lactation to Pb, and at weaning pups were given the administered Pb drinking solutions until postnatal week 52 (PND 364). Only male pups were used for age related endpoints.","PND 21, 364","PND 21: 
0 mg/L (0 ug/dL) for Control
0.1 mg/L (10 ug/dL) for 0.5 g/L solution
0.36 mg/L (3.6 ug/dL) for 2.0 g/L solution

PND 364:
0 mg/L (0 ug/dL) for Control
0.15 mg/L (1.5 ug/dL) for 0.5 g/L solution
0.51 mg/L (5.1 ug/dL) for 2.0 g/L solution","PND 21: 
0 ug/dL for Control
10 ug/dL for 0.5 g/L solution
3.6 ug/dL for 2.0 g/L solution

PND 364:
0 ug/dL for Control
1.5 ug/dL for 0.5 g/L solution
5.1 ug/dL for 2.0 g/L solution",Yes,
6775203,"Zhou, F., Du, G., Xie, J., Gu, J., Jia, Q., Fan, Y., Yu, H., Zha, Z., Wang, K., Ouyang, L., Shao, L., Feng, C., Fan, G.","RyRs mediate lead-induced neurodegenerative disorders through calcium signaling pathways",2020,carlson.laura@epa.gov,2,"Brain Structure and Function",Electrophysiology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (distilled water), M, n = 6-11
0.5 g/L solution, M, n = 6-11
2.0 g/L solution, M, n = 6-11","Pb acetate",,"Oral, drinking water",,,,,Yes,,Prenatal,Postnatal,Juvenile/Adolescent,"Continued to Adult",,"GD 1 to PND 364",,,"Long-Term (greater than 30 days)",386,"Pregnant rats were exposed during gestation and lactation to Pb, and at weaning pups were given the administered Pb drinking solutions until postnatal week 52 (PND 364). Only male pups were used for age related endpoints.","PND 21, 364","PND 21: 
0 mg/L (0 ug/dL) for Control
0.1 mg/L (10 ug/dL) for 0.5 g/L solution
0.36 mg/L (3.6 ug/dL) for 2.0 g/L solution

PND 364:
0 mg/L (0 ug/dL) for Control
0.15 mg/L (1.5 ug/dL) for 0.5 g/L solution
0.51 mg/L (5.1 ug/dL) for 2.0 g/L solution","PND 21: 
0 ug/dL for Control
10 ug/dL for 0.5 g/L solution
3.6 ug/dL for 2.0 g/L solution

PND 364:
0 ug/dL for Control
1.5 ug/dL for 0.5 g/L solution
5.1 ug/dL for 2.0 g/L solution",Yes,
6804025,"Liu, X., Wei, F., Cheng, Y., Zhang, Y., Jia, G., Zhou, J., Zhu, M., Shan, Y., Sun, X., Yu, L., Merzenich, M. M., Lurie, D. I., Zheng, Q., Zhou, X.","Auditory Training Reverses Lead (Pb)-Toxicity-Induced Changes in Sound-Azimuth Selectivity of Cortical Neurons",2019,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), F, n = 12
58 mg/L, F, n = 11","Pb acetate",,,,"Oral, lactation",,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,,,"Rat pups were exposed to 58 mg/L Pb acetate via dams drinking water between PND 1 and PND 21.","PND 93","PND 9:
0 ug/dL for Control
7.9 ug/dL for 58 mg/L

PND 21:
0 ug/dL for Control,
8.2 ug/dL for 58 mg/L

PND 40:
0 ug/dL for Control
0 ug/dL for 58 mg/L","PND 9:
0 ug/dL for Control
7.9 ug/dL for 58 mg/L

PND 21:
0 ug/dL for Control,
8.2 ug/dL for 58 mg/L

PND 40:
0 ug/dL for Control
0 ug/dL for 58 mg/L",Yes,
6804025,"Liu, X., Wei, F., Cheng, Y., Zhang, Y., Jia, G., Zhou, J., Zhu, M., Shan, Y., Sun, X., Yu, L., Merzenich, M. M., Lurie, D. I., Zheng, Q., Zhou, X.","Auditory Training Reverses Lead (Pb)-Toxicity-Induced Changes in Sound-Azimuth Selectivity of Cortical Neurons",2019,carlson.laura@epa.gov,2,"Sensory Organ Function","Sound Azimuth Discrimination Training",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), F, n = 12
58 mg/L, F, n = 11","Pb acetate",,"Oral, drinking water",,,,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,,,"Rat pups were exposed to 58 mg/L Pb acetate via dams drinking water between PND 1 and PND 21.","PND 93","PND 9:
0 ug/dL for Control
7.9 ug/dL for 58 mg/L

PND 21:
0 ug/dL for Control,
8.2 ug/dL for 58 mg/L

PND 40:
0 ug/dL for Control
0 ug/dL for 58 mg/L","PND 9:
0 ug/dL for Control
7.9 ug/dL for 58 mg/L

PND 21:
0 ug/dL for Control,
8.2 ug/dL for 58 mg/L

PND 40:
0 ug/dL for Control
0 ug/dL for 58 mg/L",Yes,
6810447,"Nan, A., Zhou, X., Chen, L., Liu, M., Zhang, N., Zhang, L., Luo, Y., Liu, Z., Dai, L., Jiang, Y.","A transcribed ultraconserved noncoding RNA, Uc.173, is a key molecule for the inhibition of lead-induced neuronal apoptosis",2016,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"Control (sterile water), NR, n = 30
9.6 mmol/L, NR, n = 30","Pb acetate",,"Oral, drinking water",,,,,"No, adult only",,,,,,,"PND 21 to PND 56",,,"Long-Term (greater than 30 days)",35,"""60 ablactating C57bl/6 mice (3 weeks old) with a weight range of 10-12 g....randomly divided into control group and Pb acetate group""  . Unclear if these are female mice? Or just weaned pups of both sexes?","PND 56","PND 7:
0 ug/L (0 ug/dL) for Control
106.3 ug/L (10.6 ug/dL) for 9.6 mmol/L

PND 14:
0 ug/L (0 ug/dL) for Control
293.2 ug/L (29.3 ug/dL) for 9.6 mmol/L

PND 35:
0 ug/L (0 ug/dL) for Control
959.6 ug/L (96 ug/dL) for 9.6 mmol/L","PND 7:
0 ug/dL for Control
10.6 ug/dL for 9.6 mmol/L

PND 14:
0 ug/dL for Control
29.3 ug/dL for 9.6 mmol/L

PND 35:
0 ug/dL for Control
96 ug/dL for 9.6 mmol/L",No,
6812797,"Zhang, J., Cai, T., Zhao, F., Yao, T., Chen, Y., Liu, X., Luo, W., Chen, J.","The role of α-synuclein and tau hyperphosphorylation-mediated autophagy and apoptosis in lead-induced learning and memory injury",2012,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water), M, n = 10
100 ppm, M, n = 10
200 ppm, M, n = 10
300 ppm, M, n = 10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,,,"NR (40-60g)",,,"Long-Term (greater than 30 days)",56,"Exact age of animals is unclear, but author's report using ""weaned rats"" which suggests juvenile animals.","+8 wks from start of exposure","+8 wks from start of exposure:
49.9 ng/mL (5 ug/dL) for Control
100.9 ng/mL (10.1 ug/dL) for 100 ppm
128.6 ng/mL (12.9 ug/dL) for 200 ppm
147.7 ng/mL (14.8 ug/dL) for 300 ppm","+8 wks from start of exposure:
5 ug/dL for Control
10.1 ug/dL for 100 ppm
12.9 ug/dL for 200 ppm
14.8 ug/dL for 300 ppm",No,
6812797,"Zhang, J., Cai, T., Zhao, F., Yao, T., Chen, Y., Liu, X., Luo, W., Chen, J.","The role of α-synuclein and tau hyperphosphorylation-mediated autophagy and apoptosis in lead-induced learning and memory injury",2012,Hester.Kirstin@epa.gov,2,"Neurodegenerative Diseases","Phosphorylated-tau expression",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water), M, n = 10
100 ppm, M, n = 10
200 ppm, M, n = 10
300 ppm, M, n = 10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,,,"NR (40-60g)",,,"Long-Term (greater than 30 days)",56,"Exact age of animals is unclear, but author's report using ""weaned rats"" which suggests juvenile animals.","+8 wks from start of exposure","+8 wks from start of exposure
49.9 ng/mL (5 ug/dL) for Control
100.9 ng/mL (10.1 ug/dL) for 100 ppm
128.6 ng/mL (12.9 ug/dL) for 200 ppm
147.7 ng/mL (14.8 ug/dL) for 300 ppm","+8 wks from start of exposure:
5 ug/dL for Control
10.1 ug/dL for 100 ppm
12.9 ug/dL for 200 ppm
14.8 ug/dL for 300 ppm",No,
6812797,"Zhang, J., Cai, T., Zhao, F., Yao, T., Chen, Y., Liu, X., Luo, W., Chen, J.","The role of α-synuclein and tau hyperphosphorylation-mediated autophagy and apoptosis in lead-induced learning and memory injury",2012,Hester.Kirstin@epa.gov,2,"Neurodegenerative Diseases","Alpha-Synuclein expression",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water), M, n = 10
100 ppm, M, n = 10
200 ppm, M, n = 10
300 ppm, M, n = 10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,,,"NR (40-60g)",,,"Long-Term (greater than 30 days)",56,"Exact age of animals is unclear, but author's report using ""weaned rats"" which suggests juvenile animals.","+8 wks from start of exposure","+8 wks from start of exposure
49.9 ng/mL (5 ug/dL) for Control
100.9 ng/mL (10.1 ug/dL) for 100 ppm
128.6 ng/mL (12.9 ug/dL) for 200 ppm
147.7 ng/mL (14.8 ug/dL) for 300 ppm","+8 wks from start of exposure:
5 ug/dL for Control
10.1 ug/dL for 100 ppm
12.9 ug/dL for 200 ppm
14.8 ug/dL for 300 ppm",No,
7187476,"Hong, T., Li, S. M., Jia, B., Huang, Y., Shu, K., Yuan, K. W., Chen, L., Li, L. X., Liu, L., Liu, Z. Y.","DNA methylation changes in the hippocampus of learning and memory disorder offspring rats of lead exposure during pregnant and lactation period",2020,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M/F, n = 50
1 g/L Pb solution, M/F, n = 50","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 21",,,"Long-Term (greater than 30 days)",42,"Sample size represents the individual. Groups were composed of animals from 9 dams/treatment. Individuals selected were a random subgroup of the total pups (~130 for each group). Sex composition was not reported.","PND 21 - 27","0.009 mg/L for Control, 0.291 mg/L for 1 g/L Pb - PND 21","0.9 ug/dL for Control, 29.1 ug/dL for 1 g/L Pb - PND 21",Yes,
7192083,"Kumar Singh, P., Kumar Singh, M., Singh Yadav, R., Kumar Dixit, R., Mehrotra, A., Nath, R.","Attenuation of Lead-Induced Neurotoxicity by Omega-3 Fatty Acid in Rats",2018,carlson.laura@epa.gov,2,"Brain Structure and Function","Brain Weight",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (distilled water), M, n=3-6
7.5 mg/kg, M, n=3-6","Pb acetate",,,"Oral, gavage",,,,"No, adult only",,,,,,,"NR (160-200g) - 14 days of treatment","Short-Term (less than or equal to 30 days)",14,,,"Male wistar rats were treated for 14 days with Pb acetate p.o. (oral gavage).  They also included co-treatment with omega 3 fatty acids to assess impact on Pb toxicity.","12h after last treatment","12h after last treatment:
5.54 ug/dL for Control
30.28 ug/dL for 7.5 mg/kg",,Yes,"looks at impact of omega 3 fatty acids coexposure on lead toxicity"
7192083,"Kumar Singh, P., Kumar Singh, M., Singh Yadav, R., Kumar Dixit, R., Mehrotra, A., Nath, R.","Attenuation of Lead-Induced Neurotoxicity by Omega-3 Fatty Acid in Rats",2018,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (distilled water), M, n=3-6
7.5 mg/kg, M, n=3-6","Pb acetate",,,"Oral, gavage",,,,"No, adult only",,,,,,,"NR (160-200g) - 14 days of treatment","Short-Term (less than or equal to 30 days)",14,,,"Male wistar rats were treated for 14 days with Pb acetate p.o. (oral gavage).  They also included co-treatment with omega 3 fatty acids to assess impact on Pb toxicity.","12h after last treatment","12h after last treatment:
5.54 ug/dL for Control
30.28 ug/dL for 7.5 mg/kg",,Yes,"looks at impact of omega 3 fatty acids coexposure on lead toxicity"
7219465,"Bijoor, A. R., Sudha, S., Venkatesh, T.","Neurochemical and neurobehavioral effects of low lead exposure on the developing brain",2012,Hester.Kirstin@epa.gov,2,"Brain Structure and Function",Neurotransmitter,Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (deionized water), M/F, n = 10 
50 ppm, M/F, n = 10","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,Juvenile/Adolescent,,,"GD 0 to PND 45",,,"Long-Term (greater than 30 days)",67,"Authors' report that pups were exposed to Pb through drinking water for ""up to 45 days"", but no additional information is provided. No information on the sex of pups is provided.","PND 45","PND 45: 
4.06 ug/dL for Control
10.65 ug/dL for 50 ppm","PND 45: 
4.06 ug/dL for Control
10.65 ug/dL for 50 ppm",Yes,"Norepinephrine measured in three areas of the brain (frontal cortex, hippocampus, striatum) at PND 45."
7219465,"Bijoor, A. R., Sudha, S., Venkatesh, T.","Neurochemical and neurobehavioral effects of low lead exposure on the developing brain",2012,Hester.Kirstin@epa.gov,2,"Cognitive Function","Passive Avoidance Test",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (deionized water), M/F, n = 10 
50 ppm, M/F, n = 10","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,Juvenile/Adolescent,,,"GD 0 to PND 45",,,"Long-Term (greater than 30 days)",67,"Authors' report that pups were exposed to Pb through drinking water for ""up to 45 days"", but no additional information is provided. No information on the sex of pups is provided.","PND 45","PND 45: 
4.06 ug/dL for Control
10.65 ug/dL for 50 ppm","PND 45: 
4.06 ug/dL for Control
10.65 ug/dL for 50 ppm",Yes,
8403832,"Wang, R., Wu, Z., Bai, L., Liu, R., Ba, Y., Zhang, H., Cheng, X., Zhou, G., Huang, H.","Resveratrol improved hippocampal neurogenesis following lead exposure in rats through activation of SIRT1 signaling",2021,Anderson.Timothy@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water), M, n = 8
0.05% solution, M, n = 8
0.1% solution, M, n = 8","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD 0 to PND 21",,,"Long-Term (greater than 30 days)",42,,"PND 21","PND 21:
23.1 ug/L (2.31 ug/dL) for Control
248 ug/L (24.8 ug/dL ) for 0.05% solution
302 ug/L (30.2 ug/dL) for 0.1% solution
361 ug/L (36.1 ug/dL) for 0.2% solution","PND 21:
2.31 ug/dL for Control
24.8 ug/dL for 0.05% solution
30.2 ug/dL for 0.1% solution
36.1 ug/dL for 0.2% solution",Yes,"Study included co-treatment with resveratrol, data for drug group not extracted."
8403832,"Wang, R., Wu, Z., Bai, L., Liu, R., Ba, Y., Zhang, H., Cheng, X., Zhou, G., Huang, H.","Resveratrol improved hippocampal neurogenesis following lead exposure in rats through activation of SIRT1 signaling",2021,Anderson.Timothy@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water), M, n = 3
0.05% solution, M, n = 3
0.1% solution, M, n = 3","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD 0 to PND 21",,,"Long-Term (greater than 30 days)",42,,"PND 21","PND 21:
23.1 ug/L (2.31 ug/dL) for Control
248 ug/L (24.8 ug/dL ) for 0.05% solution
302 ug/L (30.2 ug/dL) for 0.1% solution
361 ug/L (36.1 ug/dL) for 0.2% solution","PND 21:
2.31 ug/dL for Control
24.8 ug/dL for 0.05% solution
30.2 ug/dL for 0.1% solution
36.1 ug/dL for 0.2% solution",Yes,"Histopathological markers for cellular differentiation (NeuN) and apoptosis (caspase-3) were examined in the hippocampus. Study included co-treatment with resveratrol, data for drug group not extracted."
10293434,"Liu, R., Bai, L., Liu, M., Wang, R., Wu, Y., Li, Q., Ba, Y., Zhang, H., Zhou, G., Yu, F., Huang, H.","Combined exposure of lead and high-fat diet enhanced cognitive decline via interacting with CREB-BDNF signaling in male rats",2022,Anderson.Timothy@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M, n = 10
0.2% solution, M, n = 10","Pb acetate",,"Oral, drinking water",,,,,"No, adult only",,,,,,,"PND 35",,,"Long-Term (greater than 30 days)",84,,"PND 119","PND 119: 
10.9 ug/L (1.09 ug/dL) for Control
176 ug/L (17.6 ug/dL) for 0.2% solution","PND 119: 
1.09 ug/dL for Control
17.6 ug/dL for 0.2% solution",No,"Study included co-treatment with a high fat diet. These data were not extracted."
10293434,"Liu, R., Bai, L., Liu, M., Wang, R., Wu, Y., Li, Q., Ba, Y., Zhang, H., Zhou, G., Yu, F., Huang, H.","Combined exposure of lead and high-fat diet enhanced cognitive decline via interacting with CREB-BDNF signaling in male rats",2022,Anderson.Timothy@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M, n = 10
0.2% solution, M, n = 10","Pb acetate",,"Oral, drinking water",,,,,"No, adult only",,,,,,,"PND 35",,,"Long-Term (greater than 30 days)",84,,"PND 119","PND 119: 
10.9 ug/L (1.09 ug/dL) for Control
176 ug/L (17.6 ug/dL) for 0.2% solution","PND 119: 
1.09 ug/dL for Control
17.6 ug/dL for 0.2% solution",No,"Study counted nissl stained neurons in the hippocampus and cortex of Pb-exposed rats. Study included co-treatment with a high fat diet. These data were not extracted."
